"Jul.Day","YYYY/MM/DD","Wdy","XAU/USD","XAG/USD","XPT/USD","CAD/USD","EUR/USD","JPY/USD","GBP/USD","CHF/USD","AUD/USD","HKD/USD","NZD/USD","KRW/USD","MXN/USD"
2453739,"2006/01/03","Tue",0.00188679,0.110620,0.00101833,1.15710,0.83479,116.350,0.57467,1.29401,1.3552,7.7537,1.4677,1004.43,10.6449
2453740,"2006/01/04","Wed",0.00188858,0.109409,0.00100503,1.15150,0.82693,116.313,0.56853,1.28030,1.3396,7.7535,1.4534,998.70,10.5836
2453741,"2006/01/05","Thu",0.00190567,0.111235,0.00101317,1.16170,0.82642,115.973,0.56929,1.27715,1.3367,7.7537,1.4547,994.61,10.5898
2453742,"2006/01/06","Fri",,,,1.16480,0.82324,114.398,0.56508,1.26968,1.3288,7.7535,1.4473,989.64,10.5699
2453745,"2006/01/09","Mon",0.00184673,0.109890,0.00100402,1.16920,0.82887,114.695,0.56677,1.27949,1.3305,7.7510,1.4447,977.59,10.5619
2453746,"2006/01/10","Tue",0.00183992,0.110620,0.00098039,1.16280,0.82915,114.641,0.56689,1.28062,1.3356,7.7510,1.4432,982.10,10.5998
2453747,"2006/01/11","Wed",0.00183689,0.112360,,1.15800,0.82402,113.965,0.56684,1.27323,1.3228,7.7513,1.4346,984.69,10.6141
2453748,"2006/01/12","Thu",0.00184332,0.111111,0.00098328,1.16250,0.83095,114.318,0.56785,1.28610,1.3318,7.7513,1.4430,974.43,10.5682
2453749,"2006/01/13","Fri",0.00182398,0.110988,,1.16130,0.82614,114.448,0.56448,1.28052,1.3277,7.7516,1.4337,987.50,10.5765
2453752,"2006/01/16","Mon",0.00178015,0.108814,0.00095329,1.15780,0.82517,114.975,0.56619,1.27962,1.3259,7.7537,1.4334,982.85,10.5542
2453753,"2006/01/17","Tue",0.00180751,0.110681,0.00096712,1.16430,0.82815,115.805,0.56726,1.28312,1.3305,7.7537,1.4489,989.21,10.5462
2453754,"2006/01/18","Wed",0.00183486,0.112676,0.00097371,1.17260,0.82764,115.357,0.56754,1.28251,1.3357,7.7535,1.4561,992.05,10.5735
2453755,"2006/01/19","Thu",0.00180261,0.112296,0.00096246,1.16570,0.82527,115.074,0.56744,1.28170,1.3391,7.7539,1.4744,981.23,10.5493
2453756,"2006/01/20","Fri",0.00176289,0.110132,0.00095694,1.15340,0.82634,115.409,0.56614,1.28256,1.3387,7.7547,1.4744,986.66,10.5237
2453759,"2006/01/23","Mon",0.00180342,0.112045,0.00095969,1.15120,0.81455,114.673,0.56049,1.26062,1.3293,7.7545,1.4626,981.42,10.5229
2453760,"2006/01/24","Tue",0.00179453,0.111111,0.00095877,1.15490,0.81394,114.539,0.55925,1.25971,1.3305,7.7557,1.4671,975.42,10.5086
2453761,"2006/01/25","Wed",0.00178015,0.106101,0.00094518,1.14830,0.81637,115.755,0.55952,1.26367,1.3272,7.7568,1.4604,969.03,10.4963
2453762,"2006/01/26","Thu",0.00179694,0.105374,0.00095057,1.15030,0.81779,116.275,0.56090,1.26867,1.3278,7.7564,1.4601,969.08,10.5050
2453763,"2006/01/27","Fri",0.00178016,0.103199,0.00094518,1.14740,0.82434,117.166,0.56405,1.27958,1.3305,7.7565,1.4641,970.73,10.4594
2453766,"2006/01/30","Mon",0.00176991,0.103573,0.00093197,1.14430,0.82704,117.545,0.56537,1.28659,1.3342,7.7573,1.4667,970.57,10.4407
2453767,"2006/01/31","Tue",0.00175824,0.100908,0.00093284,1.14390,0.82259,116.903,0.56137,1.27881,1.3209,7.7573,1.4591,961.26,10.4466
2453768,"2006/02/01","Wed",0.00175978,0.102354,0.00093110,1.14020,0.82707,117.862,0.56253,1.28430,1.3261,7.7570,1.4588,962.19,10.4318
2453769,"2006/02/02","Thu",0.00174779,0.101833,0.00092678,1.14320,0.82643,118.282,0.56158,1.28450,1.3250,7.7567,1.4509,972.11,10.4881
2453770,"2006/02/03","Fri",0.00175747,0.101937,0.00092678,1.14710,0.83208,118.957,0.56751,1.29455,1.3352,7.7578,1.4561,970.47,10.4950
2453773,"2006/02/06","Mon",0.00175515,0.102459,0.00093023,1.14570,0.83548,118.948,0.57268,1.30105,1.3468,7.7583,1.4679,962.77,10.4630
2453774,"2006/02/07","Tue",0.00178987,0.102881,0.00094162,1.14910,0.83516,118.026,0.57326,1.29828,1.3448,7.7592,1.4655,968.07,10.4749
2453775,"2006/02/08","Wed",0.00182232,0.107817,0.00095238,1.15360,0.83795,118.695,0.57456,1.30321,1.3529,7.7622,1.4754,971.86,10.5255
2453776,"2006/02/09","Thu",0.00178492,0.105263,0.00093809,1.14530,0.83586,118.671,0.57440,1.30104,1.3523,7.7615,1.4769,973.07,10.4785
2453777,"2006/02/10","Fri",0.00179533,0.104712,0.00094162,1.15420,0.83905,117.620,0.57297,1.30522,1.3555,7.7592,1.4726,967.48,10.5118
2453780,"2006/02/13","Mon",0.00182050,0.107991,,1.15480,0.84004,117.633,0.57347,1.30752,1.3521,7.7601,1.4711,976.99,10.5077
2453781,"2006/02/14","Tue",0.00185288,0.108460,0.00098717,1.15480,0.84071,117.429,0.57665,1.30974,1.3535,7.7606,1.4843,968.79,10.5173
2453782,"2006/02/15","Wed",0.00185014,0.107296,0.00098619,1.15410,0.84143,117.946,0.57464,1.31073,1.3508,7.7615,1.4800,973.10,10.5205
2453783,"2006/02/16","Thu",0.00185615,0.108696,0.00100301,1.15780,0.84198,117.974,0.57642,1.31359,1.3554,7.7607,1.4953,974.58,10.5159
2453784,"2006/02/17","Fri",0.00181258,0.105708,0.00098814,1.15220,0.84004,118.417,0.57458,1.31230,1.3544,7.7606,1.4985,973.14,10.4555
2453787,"2006/02/20","Mon",,,,1.14800,0.83704,118.241,0.57300,1.30647,1.3496,7.7605,1.4932,967.96,10.4364
2453788,"2006/02/21","Tue",0.00180505,0.105374,0.00097752,1.14640,0.83948,118.847,0.57320,1.30837,1.3527,7.7616,1.5096,968.24,10.4408
2453789,"2006/02/22","Wed",,,,1.14820,0.84000,118.530,0.57393,1.31147,1.3585,7.7614,1.5186,974.70,10.4858
2453790,"2006/02/23","Thu",0.00181422,0.104466,0.00097466,1.15130,0.83877,117.014,0.57074,1.30844,1.3521,7.7590,1.5109,965.86,10.5046
2453791,"2006/02/24","Fri",,,,1.15180,0.84190,116.899,0.57318,1.31635,1.3514,7.7583,1.5084,966.28,10.4804
2453794,"2006/02/27","Mon",0.00180750,0.103466,0.00096432,1.14200,0.84318,115.975,0.57453,1.32023,1.3539,7.7583,1.5128,968.62,10.4675
2453795,"2006/02/28","Tue",0.00179856,0.103146,0.00095147,1.13800,0.83861,115.839,0.57017,1.31121,1.3459,7.7588,1.5079,970.99,10.4500
2453796,"2006/03/01","Wed",0.00177227,0.102041,0.00095602,1.13690,0.84072,116.235,0.57254,1.31738,1.3459,7.7577,1.5084,968.40,10.4591
2453797,"2006/03/02","Thu",0.00177384,0.102171,0.00095148,1.13220,0.83299,116.075,0.57165,1.30408,1.3407,7.7577,1.5036,969.35,10.5321
2453798,"2006/03/03","Fri",0.00176991,0.097466,0.00094429,1.13520,0.83140,116.454,0.57048,1.29930,1.3442,7.7585,1.5024,971.09,10.5797
2453801,"2006/03/06","Mon",0.00176912,0.097847,0.00094429,1.14020,0.83311,117.474,0.57176,1.30041,1.3501,7.7590,1.5219,975.36,10.6065
2453802,"2006/03/07","Tue",0.00180831,0.100050,0.00096246,1.14700,0.84116,117.774,0.57603,1.31281,1.3634,7.7610,1.5427,977.00,10.6996
2453803,"2006/03/08","Wed",0.00183570,0.100050,0.00099010,1.15740,0.83936,117.922,0.57611,1.30883,1.3666,7.7616,1.5414,981.68,10.7765
2453804,"2006/03/09","Thu",0.00181785,0.101266,0.00098328,1.15950,0.83894,117.955,0.57589,1.31374,1.3600,7.7609,1.5427,981.79,10.7064
2453805,"2006/03/10","Fri",0.00186916,0.101471,0.00099404,1.16050,0.84149,119.063,0.57955,1.32025,1.3685,7.7623,1.5592,980.15,10.7057
2453808,"2006/03/13","Mon",0.00183993,0.099850,0.00098232,1.16180,0.83758,119.025,0.57772,1.31425,1.3651,7.7593,1.5601,980.42,10.7177
2453809,"2006/03/14","Tue",0.00183218,0.099354,0.00098232,1.15500,0.83165,117.366,0.57212,1.30112,1.3583,7.7581,1.5663,977.16,10.6845
2453810,"2006/03/15","Wed",0.00179694,0.097561,0.00097087,1.15530,0.83014,117.290,0.57272,1.29984,1.3554,7.7585,1.5505,974.94,10.6676
2453811,"2006/03/16","Thu",0.00180914,0.097324,0.00097276,1.15370,0.82296,117.150,0.56979,1.29339,1.3608,7.7574,1.5686,975.23,10.6234
2453812,"2006/03/17","Fri",0.00180914,0.096479,0.00096805,1.15880,0.81992,115.903,0.56930,1.28942,1.3718,7.7576,1.5770,971.33,10.6999
2453815,"2006/03/20","Mon",0.00179938,0.096712,0.00096525,1.16280,0.82188,116.245,0.56941,1.29100,1.3841,7.7587,1.5990,967.39,10.7468
2453816,"2006/03/21","Tue",0.00182648,0.097276,0.00096618,1.16470,0.82791,117.243,0.57284,1.30381,1.3967,7.7597,1.6067,968.16,10.8043
2453817,"2006/03/22","Wed",0.00181570,0.094967,0.00096154,1.16530,0.82686,116.716,0.57201,1.30260,1.3881,7.7602,1.5928,973.52,10.8703
2453818,"2006/03/23","Thu",0.00182982,0.095238,0.00096432,1.16590,0.83463,117.601,0.57587,1.31636,1.3996,7.7594,1.6024,975.65,10.8557
2453819,"2006/03/24","Fri",0.00179614,0.093633,0.00095969,1.16740,0.83101,117.504,0.57386,1.31007,1.4070,7.7594,1.6336,979.36,10.8595
2453822,"2006/03/27","Mon",0.00176991,0.091785,0.00094429,1.16870,0.83235,116.637,0.57244,1.30932,1.4171,7.7593,1.6491,975.54,10.9429
2453823,"2006/03/28","Tue",0.00176212,0.092507,0.00093721,1.16980,0.82806,117.214,0.57158,1.30064,1.4111,7.7594,1.6562,976.46,10.9429
2453824,"2006/03/29","Wed",0.00176991,0.091954,0.00093897,1.17240,0.83131,117.793,0.57620,1.30921,1.4170,7.7602,1.6564,975.37,10.9468
2453825,"2006/03/30","Thu",0.00171233,0.087336,0.00092251,1.16270,0.82426,117.421,0.57318,1.29896,1.4007,7.7598,1.6388,976.24,10.9276
2453826,"2006/03/31","Fri",0.00171822,0.085070,0.00092937,1.16710,0.82370,117.498,0.57495,1.30256,1.3957,7.7599,1.6225,971.77,10.8973
2453829,"2006/04/03","Mon",0.00170358,0.086319,0.00093284,1.17190,0.82482,117.826,0.57517,1.30443,1.3935,7.7602,1.6270,970.92,10.8610
2453830,"2006/04/04","Tue",0.00170068,0.085143,0.00093023,1.16620,0.81575,117.454,0.56955,1.28990,1.3885,7.7633,1.6444,963.01,10.8686
2453831,"2006/04/05","Wed",0.00170503,0.085800,0.00093458,1.16190,0.81497,117.589,0.57155,1.28585,1.3768,7.7591,1.6291,957.08,10.9407
