"Jul.Day","YYYY/MM/DD","Wdy","XAU/USD","XAG/USD","XPT/USD","CAD/USD","EUR/USD","JPY/USD","GBP/USD","CHF/USD","AUD/USD","HKD/USD","NZD/USD","KRW/USD","MXN/USD"
2455201,"2010/01/04","Mon",0.00089166,0.058241,0.00066667,1.03780,0.69358,92.578,0.62084,1.02967,1.09519,7.7556,1.3650,1149.3,12.916
2455202,"2010/01/05","Tue",0.00089027,0.056915,0.00065574,1.03720,0.69438,91.464,0.62471,1.03235,1.09375,7.7564,1.3597,1139.8,12.818
2455203,"2010/01/06","Wed",0.00088496,0.055897,0.00064267,1.03340,0.69430,92.516,0.62441,1.02836,1.08837,7.7545,1.3599,1130.6,12.744
2455204,"2010/01/07","Thu",0.00088476,0.055279,0.00064851,1.03510,0.69864,93.336,0.62851,1.03417,1.09084,7.7544,1.3654,1136.2,12.759
2455205,"2010/01/08","Fri",0.00088751,0.055188,0.00063735,1.03440,0.69657,92.688,0.62532,1.02966,1.08496,7.7553,1.3630,1128.0,12.728
2455208,"2010/01/11","Mon",0.00086730,0.053079,0.00063211,1.03170,0.68803,91.952,0.61938,1.01515,1.07592,7.7551,1.3478,1120.2,12.668
2455209,"2010/01/12","Tue",0.00086862,0.054318,0.00063452,1.03750,0.68859,91.009,0.61804,1.01596,1.08231,7.7550,1.3490,1120.4,12.718
2455210,"2010/01/13","Wed",0.00088711,0.054496,0.00063412,1.03220,0.69007,91.345,0.61400,1.01956,1.08424,7.7562,1.3526,1123.2,12.762
2455211,"2010/01/14","Thu",0.00087854,0.053821,0.00062500,1.02610,0.69074,91.047,0.61282,1.02079,1.07479,7.7577,1.3473,1123.9,12.721
2455212,"2010/01/15","Fri",0.00088653,0.053996,0.00062500,1.02870,0.69554,90.794,0.61580,1.02675,1.08318,7.7599,1.3553,1123.0,12.686
2455215,"2010/01/18","Mon",0.00088145,0.053591,0.00061919,1.02510,0.69489,90.717,0.61244,1.02418,1.07860,7.7634,1.3522,1124.0,12.660
2455216,"2010/01/19","Tue",0.00088261,0.054054,0.00061690,1.03280,0.70087,91.156,0.61094,1.03414,1.08340,7.7626,1.3552,1130.0,12.651
2455217,"2010/01/20","Wed",0.00089266,0.054113,0.00061463,1.04780,0.70956,91.272,0.61404,1.04539,1.10086,7.7683,1.3900,1134.0,12.772
2455218,"2010/01/21","Thu",0.00090232,0.056561,0.00062035,1.04870,0.70896,90.250,0.61688,1.04276,1.10483,7.7703,1.4005,1142.4,12.784
2455219,"2010/01/22","Fri",0.00092251,0.057870,0.00064935,1.05640,0.70658,90.060,0.62039,1.04007,1.10560,7.7714,1.4031,1154.5,12.930
2455222,"2010/01/25","Mon",0.00091303,0.058275,0.00064809,1.05820,0.70693,90.136,0.61595,1.04041,1.10748,7.7684,1.4003,1146.5,12.913
2455223,"2010/01/26","Tue",0.00091470,0.058275,0.00066138,1.06060,0.71005,89.578,0.61879,1.04482,1.11034,7.7746,1.4096,1160.4,12.835
2455224,"2010/01/27","Wed",0.00091345,0.059737,0.00065833,1.06570,0.71165,89.404,0.61715,1.04737,1.11556,7.7757,1.4151,1163.4,12.929
2455225,"2010/01/28","Thu",0.00091912,0.060168,0.00065920,1.06430,0.71521,89.814,0.61936,1.05210,1.11574,7.7683,1.4155,1153.1,13.032
2455226,"2010/01/29","Fri",0.00091848,0.061387,0.00066138,1.06500,0.72096,90.407,0.62467,1.05550,1.12675,7.7667,1.4189,1158.9,13.028
2455229,"2010/02/01","Mon",0.00092039,0.061614,0.00065789,1.06530,0.71921,90.818,0.62805,1.05874,1.12659,7.7664,1.4157,1166.8,12.943
2455230,"2010/02/02","Tue",0.00090009,0.059595,0.00064309,1.06070,0.71659,90.426,0.62634,1.05595,1.13117,7.7676,1.4056,1160.5,12.863
2455231,"2010/02/03","Wed",0.00089666,0.059559,0.00063371,1.06090,0.71911,91.143,0.62838,1.05921,1.13429,7.7660,1.4132,1148.2,12.971
2455232,"2010/02/04","Thu",,,,1.07340,0.72679,89.153,0.63447,1.06551,1.15669,7.7672,1.4553,1146.8,13.090
2455233,"2010/02/05","Fri",0.00094518,0.065920,0.00067797,1.07250,0.73489,89.226,0.64037,1.07789,1.16047,7.7705,1.4626,1169.6,13.197
2455236,"2010/02/08","Mon",0.00093985,0.066050,0.00067705,1.06920,0.73003,89.323,0.63901,1.06984,1.15030,7.7700,1.4543,1171.1,13.146
2455237,"2010/02/09","Tue",0.00093349,0.065789,0.00066845,1.06900,0.72489,89.456,0.63787,1.06389,1.14002,7.7700,1.4411,1158.2,13.070
2455238,"2010/02/10","Wed",0.00093502,0.064103,0.00066181,1.06710,0.72879,89.899,0.64082,1.06827,1.14410,7.7716,1.4452,1162.4,13.056
2455239,"2010/02/11","Thu",0.00092915,0.065062,0.00066181,1.05230,0.73326,89.863,0.63803,1.07498,1.12546,7.7689,1.4288,1157.6,13.043
2455240,"2010/02/12","Fri",0.00092421,0.065232,0.00066445,1.05310,0.73397,90.009,0.63824,1.07690,1.13151,7.7698,1.4393,1152.2,12.984
2455243,"2010/02/15","Mon",0.00091054,0.064226,0.00066094,1.04800,0.73497,89.957,0.63848,1.07742,1.12446,7.7717,1.4323,1147.9,12.937
2455244,"2010/02/16","Tue",0.00089666,0.063211,0.00065189,1.04260,0.72777,90.425,0.63569,1.06846,1.11176,7.7706,1.4187,1148.2,12.856
2455245,"2010/02/17","Wed",0.00089365,0.061690,0.00064851,1.04550,0.73410,90.834,0.63688,1.07705,1.11199,7.7670,1.4205,1146.4,12.879
2455246,"2010/02/18","Thu",0.00089445,0.063171,0.00065617,1.04520,0.73735,91.444,0.64182,1.08076,1.11476,7.7656,1.4257,1144.8,12.847
2455247,"2010/02/19","Fri",0.00089867,0.062696,0.00066094,1.04200,0.73869,91.968,0.64785,1.08248,1.11683,7.7660,1.4374,1153.9,12.825
2455250,"2010/02/22","Mon",0.00089666,0.060827,0.00065147,1.04280,0.73587,91.154,0.64618,1.07761,1.11197,7.7629,1.4267,1149.7,12.801
2455251,"2010/02/23","Tue",0.00090334,0.062112,0.00065876,1.05170,0.73871,90.043,0.64668,1.08188,1.11930,7.7623,1.4391,1157.0,12.855
2455252,"2010/02/24","Wed",0.00090662,0.063452,0.00066489,1.05500,0.73663,90.094,0.64804,1.07796,1.11853,7.7656,1.4422,1156.8,12.852
2455253,"2010/02/25","Thu",0.00091366,0.062814,0.00066050,1.06750,0.74214,88.884,0.65794,1.08585,1.13528,7.7644,1.4579,1169.2,12.858
2455254,"2010/02/26","Fri",0.00090232,0.062035,0.00065232,1.05260,0.73214,88.827,0.65623,1.07124,1.11610,7.7620,1.4288,1160.5,12.760
2455257,"2010/03/01","Mon",0.00089767,0.060606,0.00064599,1.04210,0.73992,89.297,0.66788,1.08281,1.11110,7.7651,1.4305,1154.0,12.743
2455258,"2010/03/02","Tue",0.00088771,0.060350,0.00064020,1.03260,0.73731,88.941,0.66939,1.07911,1.10593,7.7629,1.4368,1148.6,12.718
2455259,"2010/03/03","Wed",0.00087989,0.058241,0.00063291,1.02870,0.72828,88.452,0.66125,1.06535,1.10186,7.7620,1.4397,1143.0,12.687
2455260,"2010/03/04","Thu",0.00088145,0.057670,0.00063331,1.03090,0.73694,89.024,0.66535,1.07790,1.11172,7.7633,1.4552,1145.4,12.719
2455261,"2010/03/05","Fri",0.00088106,0.057971,0.00063371,1.02860,0.73492,90.307,0.66165,1.07527,1.10330,7.7634,1.4386,1134.1,12.660
2455264,"2010/03/08","Mon",0.00088830,0.057703,0.00062383,1.02860,0.73461,90.307,0.66400,1.07437,1.10082,7.7581,1.4306,1132.8,12.668
2455265,"2010/03/09","Tue",0.00089626,0.058651,0.00063532,1.02510,0.73605,89.921,0.66656,1.07645,1.09449,7.7598,1.4232,1135.2,12.629
2455266,"2010/03/10","Wed",0.00089246,0.057241,0.00062305,1.02430,0.73222,90.646,0.66773,1.07021,1.09038,7.7586,1.4120,1129.3,12.597
2455267,"2010/03/11","Thu",0.00090580,0.059137,0.00063291,1.02650,0.73144,90.600,0.66444,1.06905,1.09307,7.7590,1.4295,1133.0,12.614
2455268,"2010/03/12","Fri",0.00090395,0.057770,0.00061767,1.01870,0.72707,90.471,0.65846,1.06004,1.09291,7.7573,1.4277,1129.4,12.547
2455271,"2010/03/15","Mon",0.00090559,0.058754,0.00061881,1.02170,0.73251,90.496,0.66478,1.06361,1.09707,7.7589,1.4288,1135.2,12.567
2455272,"2010/03/16","Tue",0.00088909,0.058005,0.00061576,1.01480,0.72683,90.446,0.65819,1.05577,1.09329,7.7606,1.4136,1133.9,12.522
2455273,"2010/03/17","Wed",0.00089146,0.057013,0.00061125,1.01130,0.72787,90.456,0.65380,1.05520,1.08404,7.7613,1.3970,1128.7,12.485
2455274,"2010/03/18","Thu",0.00089067,0.057176,0.00061237,1.01390,0.73519,90.446,0.65586,1.06312,1.08706,7.7608,1.4016,1131.6,12.473
2455275,"2010/03/19","Fri",0.00090457,0.057770,0.00061843,1.01550,0.73908,90.508,0.66608,1.06146,1.09124,7.7595,1.4104,1133.4,12.560
2455278,"2010/03/22","Mon",0.00091137,0.059595,0.00063211,1.01930,0.73911,90.044,0.66356,1.05802,1.09250,7.7609,1.4175,1135.1,12.617
2455279,"2010/03/23","Tue",0.00090785,0.059595,0.00062578,1.01780,0.73888,90.231,0.66367,1.05625,1.08879,7.7619,1.4150,1137.2,12.528
2455280,"2010/03/24","Wed",0.00091680,0.059952,0.00063052,1.02670,0.74925,91.916,0.67052,1.06914,1.10019,7.7608,1.4238,1138.3,12.538
2455281,"2010/03/25","Thu",0.00091491,0.059559,0.00062775,1.01880,0.74939,92.702,0.67190,1.06972,1.09667,7.7609,1.4115,1142.2,12.491
2455282,"2010/03/26","Fri",0.00091199,0.059347,0.00062657,1.02850,0.74637,92.574,0.67091,1.06625,1.10591,7.7625,1.4214,1139.0,12.543
2455285,"2010/03/29","Mon",0.00090293,0.058309,0.00062073,1.02030,0.74268,92.670,0.66809,1.06359,1.09286,7.7640,1.4110,1134.9,12.462
2455286,"2010/03/30","Tue",0.00090334,0.057438,0.00061652,1.01880,0.74577,92.871,0.66268,1.06737,1.08905,7.7648,1.4095,1132.0,12.414
2455287,"2010/03/31","Wed",0.00089646,0.057143,0.00060790,1.01560,0.73932,93.431,0.65854,1.05287,1.09063,7.7648,1.4090,1131.0,12.301
2455288,"2010/04/01","Thu",0.00089008,0.056529,0.00060241,1.00750,0.73696,93.808,0.65405,1.05597,1.08555,7.7673,1.4128,1127.0,12.300
2455292,"2010/04/05","Mon",,,,1.00250,0.74149,94.309,0.65433,1.06197,1.08590,7.7661,1.4190,1122.6,12.274
2455293,"2010/04/06","Tue",0.00088281,0.055804,0.00058823,1.00010,0.74757,93.818,0.65666,1.07054,1.08072,7.7655,1.4267,1125.0,12.246
2455294,"2010/04/07","Wed",0.00087566,0.055648,0.00058480,1.00300,0.74834,93.563,0.65594,1.07181,1.07687,7.7619,1.4125,1120.7,12.230
2455295,"2010/04/08","Thu",0.00087108,0.055617,0.00058582,1.00200,0.74854,93.209,0.65482,1.07257,1.07719,7.7582,1.4151,1123.3,12.236
2455296,"2010/04/09","Fri",0.00086768,0.054526,0.00058207,1.00550,0.74256,93.275,0.65060,1.06741,1.07254,7.7566,1.3971,1117.2,12.189
2455299,"2010/04/12","Mon",0.00086300,0.054083,0.00057870,1.00150,0.73607,93.250,0.65070,1.05990,1.07584,7.7581,1.4021,1114.0,12.169
2455300,"2010/04/13","Tue",0.00087089,0.055066,0.00058343,1.00280,0.73638,93.197,0.65062,1.05591,1.07886,7.7605,1.4051,1124.2,12.201
2455301,"2010/04/14","Wed",0.00086674,0.054377,0.00057870,0.99610,0.73178,93.006,0.64585,1.05118,1.06877,7.7606,1.3990,1111.7,12.192
2455302,"2010/04/15","Thu",0.00086618,0.054735,0.00058207,1.00140,0.73855,93.067,0.64661,1.05957,1.07274,7.7610,1.4071,1107.7,12.199
2455303,"2010/04/16","Fri",0.00086843,0.054496,0.00058548,1.01480,0.74143,92.004,0.64964,1.06251,1.08119,7.7623,1.4128,1110.3,12.277
2455306,"2010/04/19","Mon",0.00088009,0.057143,0.00059418,1.02010,0.74313,92.150,0.65521,1.06493,1.08869,7.7616,1.4146,1118.5,12.336
2455307,"2010/04/20","Tue",0.00087355,0.055556,0.00058343,0.99860,0.74378,93.327,0.65047,1.06746,1.07400,7.7635,1.4053,1118.3,12.223
2455308,"2010/04/21","Wed",0.00087489,0.056117,0.00057804,0.99840,0.74731,93.222,0.64954,1.07091,1.07784,7.7638,1.4104,1108.1,12.180
2455309,"2010/04/22","Thu",0.00088203,0.055617,0.00057770,1.00130,0.75207,93.058,0.65079,1.07783,1.08166,7.7631,1.4095,1108.9,12.266
2455310,"2010/04/23","Fri",0.00087758,0.055897,0.00057971,1.00270,0.74845,94.239,0.65098,1.07447,1.08365,7.7629,1.3994,1109.2,12.203
2455313,"2010/04/26","Mon",0.00086618,0.054496,0.00057078,1.00090,0.74991,94.070,0.64662,1.07555,1.07867,7.7634,1.3817,1104.7,12.157
2455314,"2010/04/27","Tue",0.00086994,0.055066,0.00058072,1.01730,0.75585,92.989,0.65430,1.08373,1.09059,7.7642,1.4069,1110.6,12.270
2455315,"2010/04/28","Wed",0.00086133,0.055679,0.00058343,1.01280,0.76162,94.126,0.65985,1.09220,1.08483,7.7678,1.3956,1119.1,12.418
2455316,"2010/04/29","Thu",0.00085708,0.055096,0.00058445,1.00540,0.75514,94.139,0.65349,1.08271,1.07795,7.7647,1.3831,1114.6,12.237
2455317,"2010/04/30","Fri",0.00084800,0.053706,0.00057537,1.01160,0.75178,94.278,0.65332,1.07709,1.07468,7.7641,1.3663,1108.0,12.229
2455320,"2010/05/03","Mon",,,,1.01340,0.75859,94.710,0.65614,1.08687,1.08062,7.7630,1.3689,1118.5,12.267
2455321,"2010/05/04","Tue",0.00084388,0.053447,0.00058411,1.02160,0.76702,94.593,0.66080,1.09885,1.09590,7.7646,1.3830,1115.3,12.418
2455322,"2010/05/05","Wed",0.00085837,0.056722,0.00061125,1.02660,0.77579,94.270,0.66083,1.11213,1.09961,7.7666,1.3929,1115.9,12.629
2455323,"2010/05/06","Thu",0.00084370,0.056529,0.00060168,1.04370,0.78805,92.281,0.67158,1.10938,1.11865,7.7727,1.4000,1140.7,12.855
2455324,"2010/05/07","Fri",0.00083177,0.056497,0.00060569,1.04310,0.78630,91.661,0.67857,1.10862,1.12488,7.7795,1.3986,1155.1,12.829
2455327,"2010/05/10","Mon",0.00083577,0.054171,0.00059032,1.02460,0.77757,93.400,0.66762,1.10660,1.10923,7.7796,1.3852,1132.2,12.509
2455328,"2010/05/11","Tue",0.00081800,0.054289,0.00059207,1.01950,0.78647,92.851,0.66888,1.10611,1.11251,7.7796,1.3876,1135.3,12.503
2455329,"2010/05/12","Wed",0.00080808,0.051046,0.00058720,1.02010,0.79108,92.990,0.67320,1.10989,1.12050,7.7815,1.4020,1143.6,12.440
2455330,"2010/05/13","Thu",0.00080808,0.051467,0.00057870,1.01490,0.79569,92.685,0.68224,1.11466,1.11137,7.7814,1.3937,1130.2,12.356
