6.7,272,7.7,15.1
6.9,273,8.2,15.1
7.2,272,8.1,15
7.4,270,8.5,15
6.9,272,7.6,15
7.1,274,7.6,14.9
7.1,271,7.8,14.9
6.7,272,7.4,14.9
6.4,273,7.1,14.9
6.5,271,7.1,14.9
6,271,7,15
5.8,270,7,15.1
5.9,274,6.8,15
7.1,281,10.7,15.1
10.2,289,11.7,15.4
8.5,298,11.1,15.3
6.4,302,9.6,15.3
4,304,5.4,15.1
3.2,314,4.9,15.1
3.6,310,5.1,15.1
4.8,300,6.6,15
7.5,295,10.4,14.9
5.7,307,8.3,14.8
4.9,313,6.2,14.6
3.9,311,5.9,14.6
4.6,308,6.4,14.5
5.2,297,7.4,14.5
5.6,290,7.1,14.6
6.8,285,8.6,14.6
7.4,283,9,14.5
8.7,281,10.9,14.4
8.3,280,9.7,14.4
7.4,278,9.6,14.3
7.4,276,8.6,14.3
7.3,278,8.8,14.3
7,273,8.6,14.3
6.4,273,7.9,14.4
7.3,275,8.8,14.4
6.9,271,8.4,14.4
7.6,267,9.8,14.4
7.5,272,9.9,14.4
8.6,275,10.5,14.3
8.4,269,10,14.3
8.6,276,10.5,14.4
8.5,276,10.5,14.4
9,274,10.5,14.4
9.4,270,10.9,14.5
9.5,269,11.2,14.5
9.8,265,11.7,14.6
10.8,260,12.5,14.5
11.1,261,12.5,14.6
10.3,256,12.6,14.5
10.4,257,12.8,14.5
11.6,259,13.9,14.5
11.4,260,13.2,14.6
11.1,264,13.2,14.6
12,263,13.9,14.5
11.2,265,13.5,14.6
11.4,266,13.6,14.5
10,265,12.2,14.5
11.4,265,13.3,14.6
10.7,264,13,14.7
11.8,263,14.1,14.8
11.8,261,14.1,14.8
12.1,262,14.5,14.8
12.2,262,14.3,14.7
11.4,264,12.9,14.7
11,259,13.3,14.6
11.1,258,13.9,14.7
11.1,260,12.7,14.7
11.5,254,13.2,14.6
11.1,256,13.1,14.7
12.4,255,15,14.6
11.9,260,13.7,14.6
11.8,262,13.9,14.7
11.9,262,13.8,14.8
12.2,264,14.4,14.7
11.7,269,14.7,14.8
11,266,14,14.7
11.7,264,14.1,14.8
12,265,14.2,14.7
11.7,265,13.6,14.6
10.8,265,12.9,14.7
11.5,265,13.7,14.7
11.2,266,14,14.7
11.4,269,13.7,14.6
10.3,268,12.5,14.7
10.5,271,12,14.7
10.6,269,13.3,14.6
11.4,269,13.9,14.6
12.9,281,14.5,14.7
12.2,281,14.3,14.8
11.9,279,14,14.7
10.5,282,13.8,14.8
11.2,288,13.5,14.7
10.6,292,13.7,14.8
11.2,281,13.1,14.7
11.3,286,13.6,14.7
10.6,286,12.2,14.8
9.9,290,12.2,14.9
9.8,293,12.5,15
8.9,291,11.4,14.9
9.9,291,12.2,14.9
9,296,11.1,15
9.6,289,12,15
8.3,288,10.8,15
7.8,286,11,15
7.8,288,11.5,15
7.9,292,9.7,15
7.8,289,9.4,15
7.8,275,9.5,15.1
6.9,278,8.6,14.9
6.8,273,9.4,15
7.7,255,9.6,15
9.1,248,10.8,14.9
10.4,252,12.5,14.9
10.1,249,12,14.9
9.6,248,12.3,14.9
9.6,258,10.9,14.8
10.2,259,12.5,14.9
10.4,253,12.6,14.9
10.2,258,12.4,15
11.1,256,12.9,15
9.9,256,12,15.2
9.8,253,12.5,15.2
9.9,253,12.3,15.3
11.1,249,13.6,15.2
10.6,247,13.1,15.2
10.3,252,12.4,15.3
9.2,245,11.7,15.3
9.5,247,11.5,15.4
8.1,242,10.9,15.4
7.9,246,10.9,15.4
7.7,250,9.8,15.5
8.4,245,9.9,15.5
8.4,238,10.9,15.5
9,235,11.5,15.5
9.1,237,11.5,15.7
9.1,237,10.7,15.8
10.1,237,11.6,15.9
10.6,236,12.4,15.9
10.5,232,12.7,15.8
10.7,234,12.5,15.9
10.3,232,14.1,16.1
9.9,242,11.5,16.2
9.3,248,11.2,16.2
8.4,256,10,16.2
8.3,247,11.5,16.3
9.6,243,12.3,16.4
10.9,250,12.3,16.4
11.4,246,13,16.5
10.9,245,13.7,16.5
9.1,246,13.8,16.6
10.4,243,13.1,16.6
10.9,227,13.9,16
10.9,219,13.1,16
12.9,219,15.5,16.1
12.1,219,15.7,16
13,213,15.5,15.9
14.2,215,18.1,15.8
17.1,210,19.3,15.5
16,212,18.7,15.5
15.8,212,17.7,15.5
14.8,221,17.2,16
15.8,221,18.1,15.6
16.2,222,18.3,15.5
17.6,216,20.3,15.4
18.3,215,20.3,15.2
17.4,212,20.5,15.2
18.8,209,20.7,15.1
18.1,208,21.1,15.2
17.1,211,20.3,15.6
17.6,219,20.4,15.6
17.2,219,19.8,15.6
16.5,226,19.2,15.5
16.6,225,18.8,15.5
16.6,226,19,15.6
16.6,225,18.7,15.4
15.4,225,18.7,15.6
16.5,227,18.5,15.7
15.8,226,18.6,15.6
16.4,222,18.9,15.4
16.4,225,19.1,15.4
16.1,228,18.4,15.5
14.8,232,17.3,15.9
14.7,240,17.7,15.8
15.5,233,17.3,15.6
14.9,236,17.5,15.7
14.9,242,17,15.8
13.8,247,17.1,15.9
13.7,239,16.1,15.8
14.2,242,17,15.8
14.1,237,16.6,15.9
14.6,231,17.2,15.9
14.2,229,17.2,16
12.7,231,14.8,16.1
12.3,235,16.1,16.2
11.5,235,14.3,16.2
11.4,240,13.4,16.3
11.4,243,13.8,16.5
11.6,243,14.4,16.4
12.8,235,15.5,16.5
13,233,14.6,16.4
12.9,236,14.6,16.5
12.1,234,14.7,16.5
13.2,233,15.1,16.4
12.5,241,15.5,16.5
12.5,243,14.9,16.5
11.7,246,13.9,16.5
12.4,253,14.7,16.5
12.1,249,14.7,16.5
13,250,15.5,16.4
12.7,253,14.8,16.5
11.7,251,14.4,16.5
12.3,243,15,16.3
12.4,234,14.2,16.3
13.1,233,15.3,16.3
13.4,234,15,16.2
11.5,242,13.5,16.4
11.2,249,14.1,16.5
10.6,246,13,16.6
10.9,245,13.5,16.6
